what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1303849865031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303849866529
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1303849873701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303849883435
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1303849885438
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1303849904704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303849905823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303849906422
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1303849908487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303849908534
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1303849927270
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303849929951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303849930238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303849941257
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1303849952358
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1303849957271
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1303849958775
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1303849959449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303849961499
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303849961710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1303849963243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1303849967186
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303849973819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303849987069
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303849994281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303849994807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303849999327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850010695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850014058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850029122
error,log,,,"Invalid preference page path: CSS Files",1303850060960
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850061091
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1303850073132
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1303850073549
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1303850073690
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1303850073691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850223036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.next",1303850224464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850225139
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303850226925
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.next",1303850227818
